Date,指数代码 Index Code,IndexName,指数英文名称Index Name(Eng),Code,Name,Name(Eng),Exchange,Exchange(Eng),weight
20220429,000300,沪深300,CSI 300,601607,上海医药,"Shanghai Pharmaceuticals Holding Co.,Ltd",上海证券交易所,Shanghai  Exchange,0.108
20220429,000300,沪深300,CSI 300,601919,中远海控,"COSCO SHIPPING Holdings Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.505
20220429,000300,沪深300,CSI 300,300122,智飞生物,Chongqing Zhifei Biological Products Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.418
20220429,000300,沪深300,CSI 300,300124,汇川技术,Shenzhen Inovance Technology Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.586
20220429,000300,沪深300,CSI 300,600018,上港集团,Shanghai International Port (Group) Co Ltd,上海证券交易所,Shanghai  Exchange,0.114
20220429,000300,沪深300,CSI 300,600183,生益科技,"Shengyi Technology Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.106
20220429,000300,沪深300,CSI 300,600763,通策医疗,TOPCHOICE MEDICAL CORPORATION,上海证券交易所,Shanghai  Exchange,0.159
20220429,000300,沪深300,CSI 300,600383,金地集团,Gemdale Corporation,上海证券交易所,Shanghai  Exchange,0.178
20220429,000300,沪深300,CSI 300,600588,用友网络,"Yonyou Network Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.182
20220429,000300,沪深300,CSI 300,600019,宝钢股份,Baoshan Iron &Steel Co Ltd,上海证券交易所,Shanghai  Exchange,0.318
20220429,000300,沪深300,CSI 300,600016,民生银行,China Minsheng Banking Corp Ltd,上海证券交易所,Shanghai  Exchange,0.507
20220429,000300,沪深300,CSI 300,600009,上海机场,Shanghai International Airport Co Ltd,上海证券交易所,Shanghai  Exchange,0.263
20220429,000300,沪深300,CSI 300,600011,华能国际,Huaneng Power International Inc,上海证券交易所,Shanghai  Exchange,0.177
20220429,000300,沪深300,CSI 300,002459,晶澳科技,"JA Solar Technology Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.288
20220429,000300,沪深300,CSI 300,002460,赣锋锂业,Ganfeng Lithium Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.492
20220429,000300,沪深300,CSI 300,000338,潍柴动力,Wei Chai Power Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.294
20220429,000300,沪深300,CSI 300,601998,中信银行,China Citic Bank Corporation Limited,上海证券交易所,Shanghai  Exchange,0.085
20220429,000300,沪深300,CSI 300,601600,中国铝业,Aluminum Corporation of China Limited,上海证券交易所,Shanghai  Exchange,0.206
20220429,000300,沪深300,CSI 300,600196,复星医药,Shanghai Fosun Pharmaceutical (Group) Co Ltd,上海证券交易所,Shanghai  Exchange,0.286
20220429,000300,沪深300,CSI 300,600276,恒瑞医药,Jiangsu Hengrui Medicine Co Ltd,上海证券交易所,Shanghai  Exchange,0.729
20220429,000300,沪深300,CSI 300,600000,浦发银行,Shanghai Pudong Development Bank Co Ltd,上海证券交易所,Shanghai  Exchange,0.521
20220429,000300,沪深300,CSI 300,600426,华鲁恒升,Shandong Hualu-Hengsheng Chemical Co Ltd,上海证券交易所,Shanghai  Exchange,0.247
20220429,000300,沪深300,CSI 300,601899,紫金矿业,Zijin Mining Group Co Ltd,上海证券交易所,Shanghai  Exchange,0.882
20220429,000300,沪深300,CSI 300,002493,荣盛石化,Rongsheng Petro Chemical Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.23
20220429,000300,沪深300,CSI 300,002466,天齐锂业,"Tianqi Lithium Industries, Inc.",深圳证券交易所,Shenzhen  Exchange,0.437
20220429,000300,沪深300,CSI 300,601888,中国中免,China Tourism Group Duty Free Corporation Limited,上海证券交易所,Shanghai  Exchange,0.982
20220429,000300,沪深300,CSI 300,002410,广联达,Glodon Software Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.241
20220429,000300,沪深300,CSI 300,002157,正邦科技,Jiangxi Zhengbang Technology Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.051
20220429,000300,沪深300,CSI 300,601877,正泰电器,Zhejiang Chint Electrics Co Ltd,上海证券交易所,Shanghai  Exchange,0.194
20220429,000300,沪深300,CSI 300,300003,乐普医疗,Lepu Medical Technology (Beijing) Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.119
20220429,000300,沪深300,CSI 300,002230,科大讯飞,"Iflytek Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.376
